"id","label"
"Nouveau Centre","Nouveau Centre"
"Union pour un Mouvement Populaire","Union pour un Mouvement Populaire"
"Députés n'appartenant à aucun groupe","Députés n'appartenant à aucun groupe"
"Gauche démocrate et républicaine","Gauche démocrate et républicaine"
"Socialiste, radical, citoyen et divers gauche","Socialiste, radical, citoyen et divers gauche"
"Non connu","Non connu"
"Groupe Socialiste","Groupe Socialiste"
"Groupe UMP","Groupe UMP"
"Groupe du RDSE","Groupe du RDSE"
"Réunion administrative des non-inscrits","Réunion administrative des non-inscrits"
"Groupe UC","Groupe UC"
"Groupe CRC-SPG","Groupe CRC-SPG"
"Groupe UC - UDF","Groupe UC - UDF"
"Groupe CRC","Groupe CRC"
